profile_id,profile_url,rating,rating_band,chart_id,song_id,title,displayed_title,difficulty,level,internal_level,chart_type,achievement,rank,chart_rating,calculated_chart_rating,best50_section,category,song_version,chart_version,is_new
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,ニルヴの心臓__dx__master,ニルヴの心臓,ニルヴの心臓,ニルヴの心臓,master,14,14.3,dx,100.5947,SSS+,321,321,new,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Galaxy Blaster__dx__master,Galaxy Blaster,Galaxy Blaster,Galaxy Blaster,master,14,14.3,dx,100.593,SSS+,321,321,new,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Zitronectar__dx__master,Zitronectar,Zitronectar,Zitronectar,master,14,14.4,dx,100.5516,SSS+,321,324,new,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Customized Justice__dx__master,Customized Justice,Customized Justice,Customized Justice,master,14+,14.8,dx,100.0963,SSS,319,319,new,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,AFTER PANDORA__std__master,AFTER PANDORA,AFTER PANDORA,AFTER PANDORA,master,14,14.2,std,100.6536,SSS+,319,319,new,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Break The Speakers__dx__master,Break The Speakers,Break The Speakers,Break The Speakers,master,14+,14.7,dx,100.1484,SSS,317,317,new,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Synthesis.__dx__master,Synthesis.,Synthesis.,Synthesis.,master,14,14.1,dx,100.5146,SSS+,317,317,new,ゲーム＆バラエティ,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,IMBRUED:FLUX__dx__master,IMBRUED:FLUX,IMBRUED:FLUX,IMBRUED:FLUX,master,14,14.1,dx,100.5081,SSS+,317,317,new,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Åntinomiε__dx__master,Åntinomiε,Åntinomiε,Åntinomiε,master,14+,14.6,dx,100.2119,SSS,316,316,new,maimai,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,零號車輛__dx__master,零號車輛,零號車輛,零號車輛,master,14+,14.6,dx,100.0858,SSS,315,315,new,ゲーム＆バラエティ,,,False
